JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460004.507373,10.323,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.862,18.530,,ASAS J060415+1245.9,VVS,STD,,,,
2460004.507535,10.308,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.860,18.520,,ASAS J060415+1245.9,VVS,STD,,,,
2460004.507766,11.476,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.520,18.539,,ASAS J060415+1245.9,VVS,STD,,,,
2460004.508044,11.495,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.497,18.531,,ASAS J060415+1245.9,VVS,STD,,,,
2460005.506389,8.865,0.008,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.232,Z,18.214,19.538,,ASAS J060415+1245.9,VVS,STD,,,,
2460005.506539,8.873,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.232,Z,18.200,19.569,,ASAS J060415+1245.9,VVS,STD,,,,
2460005.506725,10.283,0.007,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.232,Z,17.885,18.566,,ASAS J060415+1245.9,VVS,STD,,,,
2460005.506875,10.286,0.007,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.232,Z,17.895,18.571,,ASAS J060415+1245.9,VVS,STD,,,,
2460005.507118,11.407,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.572,18.543,,ASAS J060415+1245.9,VVS,STD,,,,
2460005.507396,11.448,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.569,18.589,,ASAS J060415+1245.9,VVS,STD,,,,
