HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457423.89284,2016-02-05.3888681,bd,1.51,14.372,9.962,0.005,397.333,1.916,V
2457423.89376,2016-02-05.3897848,bd,1.52,14.375,9.969,0.006,394.681,1.948,V
2457428.89111,2016-02-10.3875032,bd,1.49,14.585,9.923,0.005,411.638,1.818,V
2457429.77010,2016-02-11.2665576,bd,1.46,14.604,9.940,0.005,405.304,1.722,V
2457429.77136,2016-02-11.2678123,bd,1.45,14.600,9.934,0.005,407.696,1.730,V
2457429.77262,2016-02-11.2690716,bd,1.52,14.598,9.931,0.005,408.580,1.724,V
2457438.85235,2016-02-20.3495371,bd,1.53,14.624,10.100,0.004,349.765,1.523,V
2457438.85361,2016-02-20.3507917,bd,1.53,14.630,10.092,0.004,352.745,1.487,V
2457438.85485,2016-02-20.3520403,bd,1.51,14.618,10.087,0.005,354.184,1.645,V
2457440.79514,2016-02-22.2924915,bd,1.63,14.605,10.051,0.005,366.134,1.690,V
2457440.79640,2016-02-22.2937516,bd,1.65,14.608,10.049,0.005,366.500,1.728,V
2457440.79766,2016-02-22.2950040,bd,1.63,14.604,10.059,0.005,363.518,1.669,V
2457442.77648,2016-02-24.2739993,bd,1.67,14.609,10.015,0.005,378.675,1.673,V
2457442.77773,2016-02-24.2752530,bd,1.69,14.603,10.006,0.005,381.399,1.734,V
2457442.77898,2016-02-24.2765078,bd,1.72,14.611,10.014,0.004,378.911,1.510,V
2457445.84197,2016-02-27.3397642,bd,1.46,14.589,9.959,0.004,398.344,1.582,V
2457445.84325,2016-02-27.3410502,bd,1.52,14.594,9.962,0.004,397.217,1.625,V
2457445.84451,2016-02-27.3423019,bd,1.49,14.597,9.960,0.005,397.992,1.695,V
2457446.73521,2016-02-28.2330855,bd,1.96,14.584,9.955,0.004,399.880,1.542,V
2457446.73647,2016-02-28.2343422,bd,1.97,14.579,9.950,0.004,401.620,1.670,V
2457446.73776,2016-02-28.2356449,bd,1.90,14.582,9.949,0.005,401.899,1.720,V
2457448.79656,2016-03-01.2946265,bd,1.60,14.588,9.933,0.004,408.024,1.547,V
2457448.79780,2016-03-01.2958688,bd,1.82,14.570,9.922,0.005,412.246,1.717,V
2457448.79908,2016-03-01.2971438,bd,1.74,14.578,9.934,0.004,407.576,1.614,V
2457450.79134,2016-03-03.2895937,bd,2.01,14.555,9.934,0.005,407.799,1.714,V
2457450.79260,2016-03-03.2908473,bd,1.74,14.566,9.930,0.005,408.964,1.758,V
2457450.79386,2016-03-03.2921152,bd,1.66,14.590,9.944,0.005,403.770,1.725,V
2457453.81591,2016-03-06.3144457,bd,1.49,14.621,10.004,0.005,382.301,1.625,V
2457453.81716,2016-03-06.3156922,bd,1.56,14.614,9.997,0.005,384.746,1.746,V
2457453.81841,2016-03-06.3169437,bd,1.53,14.626,10.009,0.005,380.552,1.658,V
2457459.77521,2016-03-12.2743171,bd,1.43,14.670,10.096,0.004,351.147,1.495,V
2457459.77647,2016-03-12.2755717,bd,1.44,14.668,10.097,0.005,350.779,1.567,V
2457459.77770,2016-03-12.2768105,bd,1.48,14.664,10.089,0.004,353.423,1.508,V
2457468.76864,2016-03-21.2686188,bd,1.60,14.583,9.969,0.005,394.649,1.687,V
2457468.76988,2016-03-21.2698634,bd,1.64,14.565,9.961,0.005,397.650,1.961,V
2457468.77114,2016-03-21.2711256,bd,1.67,14.571,9.959,0.005,398.226,1.865,V
2457475.73516,2016-03-28.2358193,bd,1.58,14.625,10.056,0.004,364.299,1.476,V
2457475.73641,2016-03-28.2370762,bd,1.59,14.633,10.065,0.004,361.303,1.528,V
2457475.73766,2016-03-28.2383266,bd,1.56,14.626,10.057,0.004,363.864,1.511,V
2457477.74313,2016-03-30.2439917,bd,1.63,14.660,10.106,0.005,348.030,1.538,V
2457477.74439,2016-03-30.2452525,bd,1.62,14.655,10.102,0.004,349.054,1.495,V
2457477.74565,2016-03-30.2465060,bd,1.66,14.655,10.103,0.004,349.121,1.464,V
2457478.73946,2016-03-31.2404113,bd,1.73,14.652,10.120,0.004,343.623,1.471,V
2457478.74071,2016-03-31.2416618,bd,1.60,14.658,10.116,0.004,344.726,1.479,V
2457478.74195,2016-03-31.2429067,bd,1.61,14.661,10.122,0.004,342.914,1.453,V
2457612.12951,2016-08-11.6333593,bd,1.60,14.499,10.027,0.006,374.010,1.982,V
2457612.13076,2016-08-11.6346063,bd,1.72,14.496,10.043,0.006,368.732,2.043,V
2457612.13204,2016-08-11.6358855,bd,1.70,14.462,10.053,0.006,365.373,1.995,V
2457613.11755,2016-08-12.6213254,bd,1.59,14.551,10.032,0.005,372.342,1.846,V
2457613.11883,2016-08-12.6225986,bd,1.67,14.545,10.033,0.005,372.256,1.718,V
2457613.12009,2016-08-12.6238645,bd,1.57,14.547,10.032,0.005,372.598,1.699,V
2457616.11238,2016-08-15.6159228,bd,1.48,14.349,9.963,0.008,397.253,2.784,V
2457616.11363,2016-08-15.6171752,bd,1.50,14.243,10.007,0.006,381.213,2.242,V
2457616.11488,2016-08-15.6184312,bd,1.49,13.990,10.012,0.008,379.515,2.844,V
2457619.11465,2016-08-18.6179684,bd,1.54,14.522,9.990,0.005,387.276,1.844,V
2457619.11593,2016-08-18.6192415,bd,1.53,14.519,9.989,0.004,387.755,1.616,V
2457619.11719,2016-08-18.6205056,bd,1.49,14.520,10.001,0.005,383.277,1.830,V
2457630.12805,2016-08-29.6304386,bd,1.53,14.629,10.123,0.004,342.515,1.453,V
2457630.12931,2016-08-29.6316991,bd,1.53,14.640,10.132,0.004,339.667,1.493,V
2457630.13057,2016-08-29.6329533,bd,1.60,14.626,10.125,0.005,341.852,1.529,V
2457637.11113,2016-09-05.6128787,bd,1.52,14.562,9.966,0.005,395.806,1.692,V
2457637.11237,2016-09-05.6141243,bd,1.53,14.571,9.979,0.005,391.339,1.807,V
2457637.11365,2016-09-05.6154013,bd,1.53,14.569,9.978,0.005,391.468,1.729,V
2457640.06432,2016-09-08.5657966,bd,1.55,14.541,9.965,0.005,395.958,1.789,V
2457640.06558,2016-09-08.5670564,bd,1.50,14.542,9.970,0.004,394.649,1.575,V
2457644.06924,2016-09-12.5703355,bd,1.62,13.884,10.090,0.009,353.285,2.890,V
2457644.07050,2016-09-12.5716026,bd,1.55,13.702,10.052,0.026,365.456,8.837,V
2457644.07177,2016-09-12.5728682,bd,1.58,13.963,10.514,0.010,239.016,2.258,V
2457650.03954,2016-09-18.5400614,bd,1.51,14.563,10.162,0.006,330.585,1.720,V
2457650.04079,2016-09-18.5413083,bd,1.53,14.603,10.167,0.005,328.957,1.562,V
2457650.04205,2016-09-18.5425769,bd,1.55,14.573,10.163,0.005,329.980,1.592,V
2457652.09144,2016-09-20.5917673,bd,1.50,14.095,10.124,0.010,342.245,2.973,V
2457652.09270,2016-09-20.5930247,bd,1.53,14.043,10.094,0.009,351.737,2.955,V
2457652.09395,2016-09-20.5942763,bd,1.47,14.002,10.114,0.012,345.622,3.869,V
2457653.03389,2016-09-21.5341223,bd,1.74,14.583,10.080,0.005,356.107,1.654,V
2457653.03515,2016-09-21.5353826,bd,1.67,14.587,10.080,0.005,356.239,1.720,V
2457653.03640,2016-09-21.5366359,bd,1.74,14.594,10.087,0.005,354.139,1.633,V
